"","GSM650876.CEL.gz","GSM650877.CEL.gz","GSM650878.CEL.gz","GSM650879.CEL.gz","GSM650880.CEL.gz","GSM650883.CEL.gz","GSM650885.CEL.gz","GSM650923.CEL.gz","GSM650924.CEL.gz","GSM650930.CEL.gz","GSM650931.CEL.gz","GSM650944.CEL.gz","GSM650946.CEL.gz","GSM650950.CEL.gz","GSM650951.CEL.gz","GSM650954.CEL.gz","GSM650959.CEL.gz","GSM650968.CEL.gz","GSM650969.CEL.gz","GSM650970.CEL.gz","GSM650975.CEL.gz"
"UQCRH",6.225054,6.8587,6.577291,6.443159,5.852388,6.90947,6.68918,6.069567,5.912294,6.383466,6.159772,6.189636,6.608875,6.059213,6.438459,6.279155,6.310795,6.074325,6.147887,6.081554,5.646986
"CYP4Z1",5.931021,5.313455,5.745871,6.21827,5.060776,5.721051,5.560592,6.546919,6.343594,6.06282,5.932572,5.882842,5.668764,5.842646,6.120861,5.716007,6.024753,6.278205,5.5994,5.9398,5.604216
"FOXE3",8.925066,8.779202,8.803528,8.755726,9.047507,8.362892,9.123436,9.199946,8.688252,8.078619,8.280191,8.297896,8.220508,8.103703,8.291325,8.062166,8.420419,8.588631,8.190076,8.170451,8.136599
"STRADB",9.853577,11.107162,10.393538,10.733987,11.566369,10.205436,11.380618,10.44588,10.43547,11.224937,11.43517,10.217991,12.027737,10.282872,10.882321,11.604138,10.760032,11.178119,11.16226,10.964939,11.504069
"RNF11",8.618671,9.042764,8.56077,8.466712,9.448626,8.997828,9.075879,8.237385,8.544176,7.775332,7.882817,7.330238,8.353311,7.384967,7.603586,8.455361,7.202064,7.497914,7.692453,8.105112,8.737126
"GPX7",6.802734,7.384341,7.120406,7.340487,7.276721,7.131408,7.440285,6.848184,6.996693,8.483243,7.712237,7.909149,8.482848,8.906799,8.163557,8.395878,8.132184,8.043564,8.265453,8.331436,8.625919
"SHISAL2A",7.586525,7.932871,8.193265,7.876023,7.731267,7.693565,7.889846,7.491098,7.657515,8.622692,7.924593,8.20415,8.238011,8.758448,8.67634,8.562471,8.3333,8.281591,8.608983,8.527431,8.857431
"MRPL37",8.963082,9.424805,8.87295,8.96657,9.048904,8.705787,9.062411,8.815239,9.021982,9.899318,9.620934,9.672812,10.012451,9.957264,9.671198,9.967682,9.74132,9.907757,10.007224,9.831514,9.743906
"HOOK1",5.29078,5.715359,5.643886,5.365955,5.919344,6.034287,5.893459,5.117885,5.006496,5.481703,4.980461,4.544838,5.396107,6.072396,5.084002,5.316152,4.859895,4.903148,5.019531,5.164899,5.37455
"USP1",7.999909,8.27234,7.968588,8.020103,8.589096,8.646428,8.091752,7.494821,8.046836,7.0675,6.986798,6.901708,7.778411,7.776685,7.390581,7.425036,6.997162,6.736131,7.340793,7.574518,7.301124
"ATG4C",7.303582,7.543539,7.371841,7.444191,7.74944,7.868184,7.334456,6.783652,6.80551,7.680909,7.378745,7.554995,8.065252,8.525265,7.714365,8.021198,7.744625,7.527976,7.973865,8.21267,8.032223
"ALG6",7.413845,8.152772,7.574888,7.524012,7.907201,8.202491,7.891677,6.875773,7.690928,6.68972,6.190847,6.307687,6.937153,7.039665,6.205849,6.710068,6.566928,6.439767,6.886424,7.154156,7.136549
"EFCAB7",5.2839,5.844936,5.215602,5.258354,5.257281,5.882081,5.778392,4.980263,5.139086,5.746401,5.318209,5.238641,5.820101,6.287571,5.526062,5.595277,5.355803,5.283555,5.566655,5.738321,6.019645
"MIER1",8.870826,9.08646,8.9591,8.822831,9.36185,9.577141,9.123113,8.653103,8.978592,8.284388,8.390139,7.898029,8.826541,8.933576,8.418228,8.599133,8.330307,8.052538,8.548839,8.429672,8.73608
"IL23R",5.933703,4.983144,5.216788,5.607127,5.050729,5.243599,4.893157,4.978516,5.440878,5.159476,5.950435,5.568093,5.630813,4.934777,5.521639,5.496061,5.162408,5.238447,5.358765,5.213214,4.975756
